# Volts    uF/cm2
-0.4064 -1.638538e+00
-0.3936 -1.595775e+00
-0.3808 -1.559677e+00
-0.3679 -1.521635e+00
-0.3551 -1.481819e+00
-0.3423 -1.440173e+00
-0.3295 -1.396630e+00
-0.3167 -1.351118e+00
-0.3038 -1.303569e+00
-0.2910 -1.253917e+00
-0.2782 -1.202098e+00
-0.2654 -1.148056e+00
-0.2526 -1.091738e+00
-0.2397 -1.033119e+00
-0.2269 -9.721996e-01
-0.2141 -9.090322e-01
-0.2013 -8.437544e-01
-0.1885 -7.766340e-01
-0.1756 -7.081323e-01
-0.1628 -6.389479e-01
-0.1500 -5.700659e-01
-0.1372 -5.027410e-01
-0.1244 -4.383154e-01
-0.1115 -3.781916e-01
-0.0987 -3.235057e-01
-0.0859 -2.743708e-01
-0.0731 -2.340148e-01
-0.0603 -1.986142e-01
-0.0474 -1.705199e-01
-0.0346 -1.490563e-01
-0.0218 -1.339442e-01
-0.0090 -1.250860e-01
0.0038 -1.225856e-01
0.0167 -1.268369e-01
0.0295 -1.385257e-01
0.0423 -1.586265e-01
0.0551 -1.883373e-01
0.0679 -2.290585e-01
0.0808 -2.823308e-01
