# Volts    uF/cm2
-0.2064 -1.105233e+00
-0.1936 -1.052323e+00
-0.1808 -9.907782e-01
-0.1679 -9.260881e-01
-0.1551 -8.604702e-01
-0.1423 -7.943790e-01
-0.1295 -7.283480e-01
-0.1167 -6.631181e-01
-0.1038 -5.996069e-01
-0.0910 -5.387703e-01
-0.0782 -4.814135e-01
-0.0654 -4.280291e-01
-0.0526 -3.788641e-01
-0.0397 -3.341480e-01
-0.0269 -2.942347e-01
-0.0141 -2.594790e-01
-0.0013 -2.300192e-01
0.0115 -2.057299e-01
0.0244 -1.860013e-01
0.0372 -1.718556e-01
0.0500 -1.613318e-01
0.0628 -1.558241e-01
0.0756 -1.559447e-01
0.0885 -1.628829e-01
0.1013 -1.788244e-01
0.1141 -2.068513e-01
0.1269 -2.509840e-01
0.1397 -3.159221e-01
0.1526 -4.065339e-01
0.1654 -5.273028e-01
0.1782 -6.816092e-01
0.1910 -8.718360e-01
0.2038 -1.209820e+00
0.2167 -1.379121e+00
0.2295 -1.673339e+00
0.2423 -1.992021e+00
0.2551 -2.325165e+00
0.2679 -2.660832e+00
0.2808 -2.987318e+00
