[sample]
name = "InAs-609-1_2c"
description = "02.M H2SO4"
area = 0.1
epsilon = 15.15

[settings]
FunctionMode = "Cp-G"
LevelAC = 0.01
G/2pif = FALSE

[data]
#Temp. (K)	#Bias (V)	#C 100000 Hz 	#G 100000 Hz 
3E+2	-7.5E-1	2.61212E-10	5.87831E-3
3E+2	-7E-1	3.25694E-10	5.87368E-3
3E+2	-6.5E-1	3.91822E-10	5.86996E-3
3E+2	-6E-1	4.82055E-10	5.86272E-3
3E+2	-5.5E-1	6.14374E-10	5.85052E-3
3E+2	-5E-1	8.7476E-10	5.81986E-3
3E+2	-4.5E-1	1.38472E-9	5.72794E-3
3E+2	-4E-1	2.31152E-9	5.42255E-3
3E+2	-3.5E-1	3.19766E-9	4.85206E-3
3E+2	-3E-1	3.43682E-9	4.45834E-3
3E+2	-2.5E-1	3.21167E-9	4.44533E-3
3E+2	-2E-1	2.94857E-9	4.56811E-3
3E+2	-1.5E-1	2.63815E-9	4.7162E-3
3E+2	-1E-1	2.34821E-9	4.85259E-3
3E+2	-5E-2	2.14098E-9	4.92935E-3
#3E+2	0E+0	1.97581E-9	4.97148E-3
